schedule,chunk,time_s
static,1,10.3878
static,10,9.1806
static,50,7.65778
static,100,7.41606
static,500,7.74845
static,1000,9.00776
static,5000,15.0186
static,10000,29.9003
dynamic,1,96.6047
dynamic,10,7.99507
dynamic,50,7.84035
dynamic,100,7.96492
dynamic,500,7.98356
dynamic,1000,9.36543
dynamic,5000,15.5847
dynamic,10000,31.7656
guided,1,7.6443
guided,10,7.42651
guided,50,7.51344
guided,100,7.48039
guided,500,7.82091
guided,1000,8.8454
guided,5000,14.728
guided,10000,31.0682
